site_key,name_en,unesco_id,category,criteria_display,criteria_count,countries,region,continent,latitude,longitude,inscription_year,inscription_decade,age_years,is_transboundary,is_endangered,area_hectares,has_image,components_count,geographic_type,unesco_url,description_en
butrint,Butrint,570,Cultural,(iii),1,ALB,Europe and North America,Europe,,,1992,1990s,33,False,False,,True,1,Urban,https://whc.unesco.org/en/list/570,"Inhabited since prehistoric times, Butrint has been the site of a Greek colony, a Roman city and a bishopric. Following a period of prosperity under Byzantine administration, then a brief occupation by the Venetians, the city was abandoned in the late Middle Ages after marshes formed in the area. The present archaeological site is a repository of ruins representing each period in the city’s development."
al_qal_a_of_beni_hammad,Al Qal'a of Beni Hammad,102,Cultural,(iii),1,DZA,Arab States,Asia,,,1980,1980s,45,False,False,150,True,1,Mountain,https://whc.unesco.org/en/list/102,"In a mountainous site of extraordinary beauty, the ruins of the first capital of the Hammadid emirs, founded in 1007 and demolished in 1152, provide an authentic picture of a fortified Muslim city. The mosque, whose prayer room has 13 aisles with eight bays, is one of the largest in Algeria."
m_zab_valley,M'Zab Valley,188,Cultural,(ii)(iii)(v),3,DZA,Arab States,Asia,,,1982,1980s,43,False,False,665.03,True,19,Urban,https://whc.unesco.org/en/list/188,"A traditional human habitat, created in the 10th century by the Ibadites around their five ksour (fortified cities), has been preserved intact in the M’Zab valley. Simple, functional and perfectly adapted to the environment, the architecture of M’Zab was designed for community living, while respecting the structure of the family. It is a source of inspiration for today’s urban planners."
kasbah_of_algiers,Kasbah of Algiers,565,Cultural,(ii)(v),2,DZA,Arab States,Asia,,,1992,1990s,33,False,False,54.7,True,1,Coastal,https://whc.unesco.org/en/list/565,"The Kasbah is a unique kind of medina, or Islamic city. It stands in one of the finest coastal sites on the Mediterranean, overlooking the islands where a Carthaginian trading-post was established in the 4th century BC. There are the remains of the citadel, old mosques and Ottoman-style palaces as well as the remains of a traditional urban structure associated with a deep-rooted sense of community."
timgad,Timgad,194,Cultural,(ii)(iii)(iv),3,DZA,Arab States,Asia,,,1982,1980s,43,False,False,90.54,True,1,Mountain,https://whc.unesco.org/en/list/194,"Timgad lies on the northern slopes of the Aurès mountains and was created ex nihilo as a military colony by the Emperor Trajan in AD 100. With its square enclosure and orthogonal design based on the cardo and decumanus, the two perpendicular routes running through the city, it is an excellent example of Roman town planning."
mbanza_kongo_vestiges_of_the_capital_of_the_former_kingdom_of_kongo,"Mbanza Kongo, Vestiges of the Capital of the former Kingdom of Kongo",1511,Cultural,(iii)(iv),2,AGO,Africa,Africa,,,2017,2010s,8,False,False,89.29,True,1,Desert,https://whc.unesco.org/en/list/1511,"The town of Mbanza Kongo, located on a plateau at an altitude of 570 m, was the political and spiritual capital of the Kingdom of Kongo, one of the largest constituted states in Southern Africa from the 14th to 19th centuries. The historical area grew around the royal residence, the customary court and the holy tree, as well as the royal funeral places. When the Portuguese arrived in the 15th century they added stone buildings constructed in accordance with European methods to the existing urban"
esma_museum_and_site_of_memory_former_clandestine_centre_of_detention_torture_and_extermination,"ESMA Museum and Site of Memory – Former Clandestine Centre of Detention, Torture and Extermination",1681,Cultural,,0,ARG,Latin America and the Caribbean,Americas,,,2023,2020s,2,False,False,0.907,True,1,Cultural Landscape,https://whc.unesco.org/en/list/1681,"This property is located within the complex of the Former Navy School of Mechanics in Buenos Aires, in the former Officers’ Quarters. This was the Argentine Navy’s principal secret detention centre during the civil-military dictatorship of 1976-1983. As part of a national strategy to destroy armed and nonviolent opposition to the military regime, the Officers' Quarters building at ESMA (Escuela Superior de Mecánica de la Armada) was used for holding captive opponents who had been abducted in Bue"
ischigualasto_talampaya_natural_parks,Ischigualasto / Talampaya Natural Parks,966,Natural,(viii),1,ARG,Latin America and the Caribbean,Americas,,,2000,2000s,25,False,False,275369,True,1,Desert,https://whc.unesco.org/en/list/966,"These two contiguous parks, extending over 275,300 ha in the desert region on the western border of the Sierra Pampeanas of central Argentina, contain the most complete continental fossil record known from the Triassic Period (245-208 million years ago). Six geological formations in the parks contain fossils of a wide range of ancestors of mammals, dinosaurs and plants revealing the evolution of vertebrates and the nature of palaeo-environments in the Triassic Period."
cueva_de_las_manos_rio_pinturas,"Cueva de las Manos, Río Pinturas",936,Cultural,(iii),1,ARG,Latin America and the Caribbean,Americas,,,1999,1990s,26,False,False,600,True,1,Cultural Landscape,https://whc.unesco.org/en/list/936,"The Cueva de las Manos, Río Pinturas, contains an exceptional assemblage of cave art, executed between 13,000 and 9,500 years ago. It takes its name (Cave of the Hands) from the stencilled outlines of human hands in the cave, but there are also many depictions of animals, such as guanacos (Lama guanicoe ), still commonly found in the region, as well as hunting scenes. The people responsible for the paintings may have been the ancestors of the historic hunter-gatherer communities of Patagonia fou"
iguazu_national_park,Iguazu National Park,303,Natural,(vii)(x),2,ARG,Latin America and the Caribbean,Americas,,,1984,1980s,41,False,False,55000,True,1,Forest,https://whc.unesco.org/en/list/303,"The semicircular waterfall at the heart of this site is some 80 m high and 2,700 m in diameter and is situated on a basaltic line spanning the border between Argentina and Brazil. Made up of many cascades producing vast sprays of water, it is one of the most spectacular waterfalls in the world. The surrounding subtropical rainforest has over 2,000 species of vascular plants and is home to the typical wildlife of the region: tapirs, giant anteaters, howler monkeys, ocelots, jaguars and caymans."
